status	path	expected_md5	actual_md5	expected_size	actual_size
CHANGED	assets/base.css	42272d62c7cc3ed8cfa316cc8bb570b9	9dc349af02d845286dca07e41eea543e	45323	43993
MISSING	assets/ft-buyer-commerce-parity.css	f56de1d5144fcbee7b443c2081fafa93	-	9069	-
MISSING	assets/ft-cloudflare-human-ui.css	53ed70d2e8d88c5986bcdbe2eec23d60	-	17325	-
MISSING	assets/ft-cloudflare-light-commerce.css	ba8b60ea90efdb04eb288dd557beb3c5	-	13174	-
CHANGED	blocks/_featured-blog-posts-title.liquid	f39c9da1469378d579d10c03b343065c	98b26a3b1c99075b77220f0f21877eff	8499	8498
CHANGED	blocks/_header-logo.liquid	e09a0cc322ec23d4af10ad34b79cc8b5	52ad09411693b23de7be5de2265e8db1	5772	5729
CHANGED	config/settings_data.json	3eccf92f8fb8da3ec15c1a326570f822	605322c35ed7c49631bdf45843992935	7873	5850
CHANGED	config/settings_schema.json	c26f6811f6b66d6c6974be72c9ae5b5a	f2460553fdc3410550b649e9fc2e720d	49893	49894
MISSING	sections/fabrictrad-admin-order-resolution.liquid	9caafc75dec6e3903cb841513ee6c2fe	-	10380	-
MISSING	sections/fabrictrad-admin-partial-refund.liquid	31293cb0c4a7f0e740679d571f6f70c6	-	10511	-
MISSING	sections/fabrictrad-admin-portal.liquid	86abec08ae4bcabb29fcad40ae47905f	-	21653	-
MISSING	sections/fabrictrad-buyer-cart.liquid	c970c463de6706dd118d6d8d140edacc	-	8097	-
MISSING	sections/fabrictrad-buyer-commerce-chrome.liquid	d6b2b64f283dd0a73e1f7c1d6d98c15b	-	8426	-
MISSING	sections/fabrictrad-direct-commerce-fixes.liquid	dd4ca8058fbd4027a9a092fd7d9770fc	-	2983	-
MISSING	sections/fabrictrad-home.liquid	7a7b3850ebebec6543ca8232510ed9a3	-	8873	-
MISSING	sections/fabrictrad-product-detail.liquid	53f12855ee312eb3873f0392f3ab8854	-	11244	-
MISSING	sections/fabrictrad-seller-access-onboarding.liquid	d3e153763ce4526719a5798dee112ce3	-	7521	-
MISSING	sections/fabrictrad-seller-documents.liquid	4d6251fe1392da14fe53b26561a016bb	-	11541	-
MISSING	sections/fabrictrad-seller-order-actions.liquid	4860308f652355a164ec8f39d72da229	-	10644	-
MISSING	sections/fabrictrad-seller-portal.liquid	0c84f53a14848c4ee42ff087663fd820	-	28163	-
MISSING	sections/fabrictrad-virtual-drape.liquid	c6a5cbe2517ea67160d2a98d27d8dd18	-	7232	-
CHANGED	sections/footer-group.json	89219d57567f6585e3f160871f90ed1c	3c287ec43123092ed2b839af223942fb	3860	7848
CHANGED	sections/header-group.json	57f978403ffcd498236466aa1dfb24b2	8fde7ca85c2d03f6db1c6232c32eb589	2389	3295
CHANGED	sections/product-hotspots.liquid	da74e51f268421858bd2a12c9f99faad	da74e51f268421858bd2a12c9f99a826	19573	19573
CHANGED	snippets/cart-products.liquid	dfaa07b52dcbf5e050fa121c6d2845c3	18928442a4b0be70c99a309e48042e1a	31623	31622
CHANGED	snippets/grid-density-controls.liquid	5463c82d0080942988a48e14f687f939	8ed948bddc33a8c1b23821a07452beaf	5735	4688
CHANGED	snippets/stylesheets.liquid	a8a822bd563bb43cde4dda649189afea	225482ed969debae3891c08113a254be	184	126
CHANGED	snippets/variant-picker-styles.liquid	2437ab39ceeebedee24ceef3c3800cce	9d0f0d5bd1d00b23e5b4b609bf679d61	16490	16330
CHANGED	templates/404.json	406c8f335f05cac9519b9cb812322c7d	afafd50a9e9853cc297d6233ac2817fc	8894	8858
CHANGED	templates/article.json	1d9aa8ef697cb9e95be61bfb9ee501a7	805d96366f6ac3a038a3627f5f011d58	2832	2839
CHANGED	templates/blog.json	0572b4b3b443eab9ffaa4739b2b74f70	5171a8a0599d5c420d2ada5d1b117ea7	3294	3350
CHANGED	templates/cart.json	19b859754c6de9f3cea275ae6af4e4e7	4a2f95dd3ecca5c2f54abe3d083a92bb	354	8264
CHANGED	templates/collection.json	8e13fee61e52776e61deadd4f7c215a1	b5fb476ff3ae620fa197fdc7ee3eaf53	7215	7623
CHANGED	templates/index.json	c54708d2255c0cec3c1ad1362b88897b	d096e1b604c1107f70259d1bf87b2870	167	9538
CHANGED	templates/list-collections.json	c4de05458cb4e725ab24f1911a00b948	de7af3a80eafecc450b3c0a2ec17f39d	5571	5566
CHANGED	templates/page.contact.json	f88c7b7186bb52ff56210c2a5d08066a	6e5f1d62af8777cf4704f92b5c435af1	4426	4336
MISSING	templates/page.fabrictrad-admin.json	f99ceecbbcac15ac5eb5a6070cdbf376	-	430	-
CHANGED	templates/page.fabrictrad-login.json	5e82da36dc1652f64fb52767da46de05	abdaa5df1803452e8fe1ea582a161390	174	537
CHANGED	templates/page.json	eb9984ce584bd0df3a0af0a16abd22fd	4490e1b11e3117a1b5c7a7e01e1ab6e4	1687	1647
CHANGED	templates/password.json	13a0d16e133abfd30b4b0a467ffab769	80b17074b9089a1bc4a01b4cc85897c1	4508	4235
CHANGED	templates/product.json	8613ad45ebc1d0d84b32ca102a683e08	d40dc0dd078d2b36012dc403c91bcc0f	303	14063
CHANGED	templates/search.json	08a8eceaab19e487282dd80e30e4518f	e896f8a70b66bd5ff3d25608af382aa5	5711	5630
